pathway,category,display_order
Cellular senescence,Cell growth and death,1
Gonadal meiosis,Cell growth and death,2
Adherens junction,Cellular motility and signaling,3
Focal adhesion,Cellular motility and signaling,4
Gap junction,Cellular motility and signaling,5
Regulation of actin cytoskeleton,Cellular motility and signaling,6
Signaling pathways regulating pluripotency of stem cells,Cellular motility and signaling,7
Tight junction,Cellular motility and signaling,8
Adrenergic signaling in cardiomyocytes,Circulatory system,9
Vascular smooth muscle contraction,Circulatory system,10
Adipocytokine signaling pathway,Endocrine system,11
Aldosterone-regulated sodium reabsorption,Endocrine system,12
Estrogen signaling pathway,Endocrine system,13
Glucagon signaling pathway,Endocrine system,14
Glycolysis / Gluconeogenesis,Endocrine system,15
GnRH signaling pathway,Endocrine system,16
Growth hormone synthesis secretion and action,Endocrine system,17
Insulin signaling pathway,Endocrine system,18
Oxytocin signaling pathway,Endocrine system,19
Prolactin signaling pathway,Endocrine system,20
Relaxin signaling pathway,Endocrine system,21
Thyroid hormone signaling pathway,Endocrine system,22
B cell receptor signaling pathway,Immune system,23
C-type lectin receptor signaling pathway,Immune system,24
Fc gamma R-mediated phagocytosis,Immune system,25
Natural killer cell mediated cytotoxicity,Immune system,26
NOD-like receptor signaling pathway,Immune system,27
Platelet activation,Immune system,28
T cell receptor signaling pathway,Immune system,29
Th17 cell differentiation,Immune system,30
Toll-like receptor signaling pathway,Immune system,31
Cholinergic synapse,Nervous system,32
Dopaminergic synapse,Nervous system,33
Long-term potentiation,Nervous system,34
Neurotrophin signaling pathway,Nervous system,35
Serotonergic synapse,Nervous system,36
AMPK signaling pathway,Signal transduction,37
Apelin signaling pathway,Signal transduction,38
ErbB signaling pathway,Signal transduction,39
Hippo signaling pathway,Signal transduction,40
MAPK signaling pathway,Signal transduction,41
mTOR signaling pathway,Signal transduction,42
NF-kappa B signaling pathway,Signal transduction,43
Sphingolipid signaling pathway,Signal transduction,44
TNF signaling pathway,Signal transduction,45
VEGF signaling pathway,Signal transduction,46
Wnt signaling pathway,Signal transduction,47
