pathway,category,figure3,figure4,figure5,display_order
Endocytosis,Cell growth and death,FALSE,FALSE,TRUE,1
Efferocytosis,Cell growth and death,FALSE,FALSE,TRUE,2
Cellular senescence,Cell growth and death,FALSE,FALSE,TRUE,3
Regulation of actin cytoskeleton,Cellular motility and signaling,TRUE,TRUE,TRUE,4
Gap junction,Cellular motility and signaling,TRUE,TRUE,FALSE,5
Focal adhesion,Cellular motility and signaling,TRUE,TRUE,TRUE,6
Tight junction,Cellular motility and signaling,FALSE,FALSE,TRUE,7
Thyroid hormone signaling pathway,Endocrine system,FALSE,TRUE,TRUE,8
Relaxin signaling pathway,Endocrine system,FALSE,TRUE,TRUE,9
Prolactin signaling pathway,Endocrine system,FALSE,TRUE,TRUE,10
Oxytocin signaling pathway,Endocrine system,FALSE,TRUE,TRUE,11
Insulin signaling pathway,Endocrine system,FALSE,TRUE,TRUE,12
GnRH signaling pathway,Endocrine system,FALSE,TRUE,TRUE,13
Glucagon signaling pathway,Endocrine system,FALSE,TRUE,TRUE,14
Adipocytokine signaling pathway,Endocrine system,FALSE,TRUE,TRUE,15
NOD-like receptor signaling pathway,Immune system,TRUE,TRUE,FALSE,16
IL-17 signaling pathway,Immune system,TRUE,TRUE,FALSE,17
Chemokine signaling pathway,Immune system,TRUE,TRUE,TRUE,18
Toll-like receptor signaling pathway,Immune system,FALSE,TRUE,TRUE,19
Th17 cell differentiation,Immune system,FALSE,TRUE,TRUE,20
T cell receptor signaling pathway,Immune system,FALSE,TRUE,TRUE,21
Platelet activation,Immune system,FALSE,TRUE,TRUE,22
Neutrophil extracellular trap formation,Immune system,FALSE,TRUE,TRUE,23
Natural killer cell mediated cytotoxicity,Immune system,FALSE,TRUE,TRUE,24
Leukocyte transendothelial migration,Immune system,FALSE,TRUE,TRUE,25
Fc gamma R-mediated phagocytosis,Immune system,FALSE,TRUE,TRUE,26
Fc epsilon RI signaling pathway,Immune system,FALSE,TRUE,TRUE,27
Complement and coagulation cascades,Immune system,FALSE,TRUE,TRUE,28
C-type lectin receptor signaling pathway,Immune system,FALSE,TRUE,TRUE,29
TNF signaling pathway,Signal transduction,TRUE,TRUE,TRUE,30
Ras signaling pathway,Signal transduction,TRUE,TRUE,FALSE,31
Phospholipase D signaling pathway,Signal transduction,TRUE,TRUE,TRUE,32
NF-kappa B signaling pathway,Signal transduction,TRUE,TRUE,TRUE,33
MAPK signaling pathway,Signal transduction,TRUE,TRUE,FALSE,34
HIF-1 signaling pathway,Signal transduction,TRUE,TRUE,FALSE,35
FoxO signaling pathway,Signal transduction,TRUE,TRUE,FALSE,36
ErbB signaling pathway,Signal transduction,TRUE,TRUE,TRUE,37
Wnt signaling pathway,Signal transduction,FALSE,TRUE,TRUE,38
VEGF signaling pathway,Signal transduction,FALSE,TRUE,TRUE,39
TGF-beta signaling pathway,Signal transduction,FALSE,TRUE,TRUE,40
mTOR signaling pathway,Signal transduction,FALSE,TRUE,TRUE,41
Apelin signaling pathway,Signal transduction,FALSE,TRUE,TRUE,42
